Judges,Tables,Occasions,Sessions,Glasses,Plots,WineReps,Bottles,Treatments,Riesling,Sultana,Shiraz,Mataro
5,5,2,2,6,2,3,2,2,17,13,15.5,14.5
5,5,2,2,7,3,1,2,3,15.5,12.5,14.5,15
5,5,2,2,8,3,2,2,3,16.5,13.5,16,16
5,5,2,2,9,3,3,2,3,15.5,12,14,12.5
5,5,2,2,10,4,1,2,4,16,15.5,14.5,16.5
5,5,2,2,11,4,2,2,4,16,10.5,14,14.5
5,5,2,2,12,4,3,2,4,15.5,14,16.5,15
6,6,1,1,1,1,1,1,1,17,13.5,13,13
6,6,1,1,2,1,2,1,1,16.5,15.5,12,14
6,6,1,1,3,1,3,1,1,14.5,10.5,14,13
6,6,1,1,4,2,1,1,2,17.5,16.5,14.5,15.5
6,6,1,1,5,2,2,1,2,14,15,10,15
6,6,1,1,6,2,3,1,2,15,16,11.5,14.5
6,6,1,1,7,3,1,1,3,18,13.5,13,14.5
6,6,1,1,8,3,2,1,3,17.5,14,15.5,14.5
6,6,1,1,9,3,3,1,3,16,13,14,11.5
6,6,1,1,10,4,1,1,4,17.5,16.5,13,15
6,6,1,1,11,4,2,1,4,15.5,14.5,14,13
6,6,1,1,12,4,3,1,4,15.5,16,14.5,14
6,6,1,2,1,1,1,2,1,17,13,13,13
6,6,1,2,2,1,2,2,1,15.5,13.5,12,14.5
6,6,1,2,3,1,3,2,1,15.5,12,14,13
6,6,1,2,4,2,1,2,2,17.5,14,13,17
6,6,1,2,5,2,2,2,2,13.5,15,10.5,12
6,6,1,2,6,2,3,2,2,16,16,14,14
6,6,1,2,7,3,1,2,3,17,13.5,12,13.5
6,6,1,2,8,3,2,2,3,17.5,13.5,13,15.5
6,6,1,2,9,3,3,2,3,15.5,10.5,15,12
6,6,1,2,10,4,1,2,4,17.5,13.5,14,15
6,6,1,2,11,4,2,2,4,13,15,13,13
6,6,1,2,12,4,3,2,4,15.5,16,14,15
6,6,2,1,1,1,1,1,1,17,13,15,15
6,6,2,1,2,1,2,1,1,16.5,13.5,15,14
6,6,2,1,3,1,3,1,1,14.5,12.5,16.5,14
6,6,2,1,4,2,1,1,2,14,15,18,17
6,6,2,1,5,2,2,1,2,13.5,14.5,15,15
6,6,2,1,6,2,3,1,2,16.5,15.5,14.5,13.5
6,6,2,1,7,3,1,1,3,17.5,12.5,14,14
6,6,2,1,8,3,2,1,3,16,14,15,14.5
6,6,2,1,9,3,3,1,3,14,11,14.5,11.5
6,6,2,1,10,4,1,1,4,14.5,14.5,16,17
6,6,2,1,11,4,2,1,4,16,15,17,12.5
6,6,2,1,12,4,3,1,4,15.5,16,14.5,15
6,6,2,2,1,1,1,2,1,17,13.5,14.5,14
6,6,2,2,2,1,2,2,1,17.5,14.5,15,14
6,6,2,2,3,1,3,2,1,13,12,16.5,14
6,6,2,2,4,2,1,2,2,17,15.5,18,17
6,6,2,2,5,2,2,2,2,13,13.5,15,13.5
6,6,2,2,6,2,3,2,2,17,16,14.5,15
6,6,2,2,7,3,1,2,3,17.5,13,13.5,13.5
6,6,2,2,8,3,2,2,3,16,12.5,15.5,13.5
6,6,2,2,9,3,3,2,3,15,11.5,16,14
6,6,2,2,10,4,1,2,4,17,13.5,17.5,16.5
6,6,2,2,11,4,2,2,4,14.5,13,15,14
6,6,2,2,12,4,3,2,4,16.5,17,15,15
